Iteration,"('ILCD 2.0 2018 midpoint', 'climate change', 'climate change total')","('ILCD 2.0 2018 midpoint', 'ecosystem quality', 'freshwater ecotoxicity')","('ILCD 2.0 2018 midpoint', 'ecosystem quality', 'freshwater and terrestrial acidification')","('ILCD 2.0 2018 midpoint', 'ecosystem quality', 'freshwater eutrophication')","('ILCD 2.0 2018 midpoint', 'ecosystem quality', 'marine eutrophication')","('ILCD 2.0 2018 midpoint', 'ecosystem quality', 'terrestrial eutrophication')","('ILCD 2.0 2018 midpoint', 'human health', 'non-carcinogenic effects')","('ILCD 2.0 2018 midpoint', 'human health', 'carcinogenic effects')","('ILCD 2.0 2018 midpoint', 'human health', 'ionising radiation')","('ILCD 2.0 2018 midpoint', 'human health', 'ozone layer depletion')","('ILCD 2.0 2018 midpoint', 'human health', 'photochemical ozone creation')","('ILCD 2.0 2018 midpoint', 'human health', 'respiratory effects, inorganics')","('ILCD 2.0 2018 midpoint', 'resources', 'minerals and metals')","('ILCD 2.0 2018 midpoint', 'resources', 'dissipated water')","('ILCD 2.0 2018 midpoint', 'resources', 'fossils')","('ILCD 2.0 2018 midpoint', 'resources', 'land use')"
0,205.77859549936727,304.27729429438057,1.3216106816410087,0.06801279228194437,0.2567417529886745,2.9579083011320355,-2.9974219417029123e-05,1.807175978699304e-05,68.47248331864975,2.5085880037464415e-05,0.7909210637265315,1.3502613964037644e-05,0.012055397208054763,139.18946898114083,3119.795679718439,2318.858326009792
1,173.80108894947796,289.71072576294546,1.2306372030366455,0.10199254003225432,0.2294097173376108,2.500496663356552,2.85588895259335e-05,2.050799893943666e-05,16.272556763762392,2.8274012620239313e-05,0.7360807216904893,1.1441829611995708e-05,0.009765942654100176,120.49071728071986,2550.6143567377417,1909.9706928222176
2,162.11859640248855,317.0905204993586,1.1369135624311932,0.06637037646567329,0.2161675606341943,2.406033179739279,0.0002464871140480921,2.3743582821595896e-05,21.57805199531789,1.5226592509122274e-05,0.6510366122130957,1.4812153147808335e-05,0.00826658029696536,143.93790585323362,2686.9639254533304,2134.753412102492
3,185.33165866385326,233.0972817726919,1.3046454387499984,0.05422635826497693,0.22950942983899564,2.4935738632555595,0.00011590455235239817,1.6139300066793444e-05,26.187294794684124,1.7266585484228913e-05,0.7415288256855187,1.3393353438496164e-05,0.007970762405743279,131.52867639821332,2974.9970987580095,2331.055937830454
4,175.74494555567355,280.0555301128199,1.366277046196333,0.07524934924527939,0.2315537949401791,2.7954962154060627,-0.00024839731549805767,1.4690950614917358e-05,56.9607935026429,2.8383777268416716e-05,0.7199354490622334,1.2967740361126894e-05,0.019822419902746455,124.02734475579284,2771.1743846212216,2094.642783831783
5,188.78636937260674,194.38586686390636,1.2787007188604402,0.12506899222985893,0.2564915743376393,2.7852749957708403,0.0002080385547017021,1.3151350534833256e-05,43.000503615941795,2.531144783188473e-05,0.8020760287196205,1.3756803635311228e-05,0.006961312694731293,126.0117334847099,3324.1996110730765,2764.1413937004513
6,178.88865268781643,289.40743546062873,1.3072770194130967,0.0636353352114196,0.22976854018540574,2.815917808016504,-4.68181515585425e-05,1.2125807524801696e-05,17.812162699545606,2.210147714485617e-05,0.7110866525726786,1.2945880739194817e-05,0.01361218847273234,141.04199544485007,3390.830681231998,2013.6200229587641
7,176.93093863516353,305.04586286659566,1.2983621334809572,0.23480937297932516,0.24201394322041161,2.7165879873007137,0.000513935630685466,2.515694625465776e-05,80.18226470535718,2.5458068669419474e-05,0.74415327380148,1.3253496651271795e-05,0.01226200075393917,114.33487995226422,3161.4625139628283,2270.50930907137
8,165.79753814545057,251.09504989303576,1.2203867681285896,0.09474656717000289,0.2346313433138398,2.5816620015806353,6.735527985335016e-05,1.2853264265996464e-05,1081.931464594654,2.1771022460488332e-05,0.7840013863108054,1.193889374254522e-05,0.008269809364601833,126.26565744298323,3184.6251806237615,1669.4883865644306
9,180.85959379641122,288.1267316832541,1.3223210717313625,0.09764569251655951,0.2324230852784594,2.676001947254018,0.00012478826782594388,2.0793214895936023e-05,31.491958152359665,3.518039319797933e-05,0.7125578033590764,1.2288530099846463e-05,0.012099373227755604,113.16164487631691,2935.5793590790227,2424.0206564306964
10,178.1667293316713,219.69084871646,1.2478269403108306,0.03481577133758012,0.2347498957918767,2.8025629928911635,0.00011940623809406171,1.410539845079662e-05,21.577765537940294,1.8088784157385374e-05,0.7484631617904565,1.2245257506599672e-05,0.011168318347338757,122.1888510195935,2664.6927390446544,2393.0883242427494
11,173.0515017484806,291.50837648547304,1.2146216843293407,0.0637257613508372,0.2308048692495311,2.4570911445417054,0.00015792594554162916,2.1882704253390056e-05,44.13910008829794,2.1327063651458122e-05,0.7221208305162784,1.2086802276512121e-05,0.006660926510128089,128.11209309579556,2864.6606002206327,1830.6959660079438
12,190.94179446471287,301.6785382491464,1.3065803780859837,0.07990272651259377,0.24317433863870294,2.8846574954752957,5.339118755441079e-05,1.9502646903783756e-05,121.40237632083257,1.6069404029997618e-05,0.7889844388307896,1.3775571332249727e-05,0.020063371540446438,113.26344464974572,2894.2429196512667,2773.2969585199517
13,203.8432250733618,349.4639103284247,1.3708175928695985,0.055566607994497606,0.2668667704527341,3.050807575321256,2.86274907476363e-05,2.0013955925596214e-05,18.23595070485825,2.147159510519779e-05,0.8447834946641114,1.2742134088346972e-05,0.013211743911340147,134.84627293056167,2846.1622602527195,2330.4679937712685
14,176.2032363097809,832.9299750674147,1.2545154159286331,0.09449793994450008,0.22730483354894315,2.6520344487055847,0.0004001135438625729,7.632143435368829e-05,37.25253780080895,1.8459416979704225e-05,0.6960192817398955,1.1950254880647369e-05,0.01694322128758075,136.40192178812381,2391.41545800719,1962.2435341572802
15,164.83530353828218,140.16364663033178,1.1612367747337657,0.036426014885897,0.21915748174034516,2.3613736146328157,-2.3476027828009672e-05,6.333370183019615e-06,41.756419398731055,2.2269784058043456e-05,0.6580026721605746,9.759166668205862e-06,0.005761854660114639,104.84678900474033,2417.9698890445857,1792.6154400310163
16,180.3059739185447,287.0388677185465,1.1856001584514952,0.07940974701786166,0.2224993967364702,2.4525769154259143,0.00012477007335984778,2.052525035165155e-05,37.834755100539965,2.2123572435445157e-05,0.7262178142446571,1.2735860089679124e-05,0.008940945189329533,133.6655470928375,3173.2782155527375,2434.311973449584
17,178.99184509948356,266.4820218489543,1.285298668995346,0.10376160797087522,0.23551602485504028,2.525570914260708,0.00028632640284830224,2.0570685378894e-05,16.872087416675285,2.2934695240110922e-05,0.7234263888141016,1.2599051257728862e-05,0.007650430982444384,137.39628851161763,2782.416928465347,1794.0700598062483
18,187.90582383439678,300.35604045939135,1.2943458452546173,0.12832698149248606,0.2570668381785356,2.7949839209159926,-0.0007575473769801395,1.28655725134395e-05,38.08048197622361,2.5181792221663713e-05,0.8331234666515783,1.4308285434197287e-05,0.010977010111589336,113.96578558324353,2668.0070212424253,2908.0848489911386
19,170.17111750847212,213.03189646038018,1.6806601236118262,0.07150406290842125,0.21948766544650727,2.5084539565245723,-2.280982987380414e-05,1.3650642114287864e-05,69.71879846029441,1.7437424364993093e-05,0.6899990398084438,1.4545476738874883e-05,0.011306822482029591,122.74314829795017,3005.0730636054454,2843.916541386228
20,190.85830757533725,389.21431890645687,1.3370623837621805,0.11409914386987473,0.24080578233065464,2.9463799129453467,0.00010727372952948439,3.157367918271635e-05,56.67546164540118,3.806816075747404e-05,0.7419672563023932,1.2020522115539663e-05,0.016750382476153756,119.99868188559019,3467.0953936443457,1828.285759689636
21,180.79987244328146,263.8933644109344,1.1915851798697892,0.05327859432454273,0.22138067805015857,2.4172050600367827,-0.00043485739693883545,1.4111466501549734e-05,51.62491376289294,2.572899093025574e-05,0.684281415850485,1.423955280981587e-05,0.006307281325682283,125.40959466689077,2483.2011365054177,2781.566544867216
22,170.17839277813647,419.05558756197587,1.2242116999630035,0.059011376370661776,0.24028195418494164,2.655254431528462,-0.00014408986786414483,2.0316437518539014e-05,30.219838834522307,2.0949670341664846e-05,0.7355223018179635,1.1617589203062429e-05,0.007244206946474299,112.65719487356422,3046.8393134533867,1859.4470108857956
23,163.99997822741227,234.27831404847572,1.224184073802074,0.08128054284910774,0.23855530579552586,2.696143823440762,-0.0007213599351361707,8.08378678340249e-06,24.22434639821197,1.761045418766796e-05,0.7299313089981874,1.2320354950576517e-05,0.008934760847768619,120.80217913509904,2844.7973278647773,1786.3962113016128
24,179.08378131005773,255.8613285582657,1.2741307062282896,0.07827295370169052,0.24618193735361638,2.6647865842547054,-7.002790281179957e-06,1.426985501235404e-05,54.434137883624885,1.8976157317874117e-05,0.7581385601623135,1.3746382516012426e-05,0.00942019513153199,125.39391154433302,3305.513487382388,1890.1992065328407
25,207.73428801070185,511.0714550909249,1.69994269277888,0.10274955608218506,0.2762874544275931,3.8750724848296993,0.0005354442708733037,4.4976499010234126e-05,170.33735701156203,2.093363418801058e-05,0.860315336972296,1.5535469806947176e-05,0.03526721752301094,139.82050078855124,3625.759556723986,3263.5867247055726
26,182.45812112658467,319.31584420843944,1.382700548705764,0.06919332063076966,0.23792125169149847,2.8435817833165538,-0.0005487602842762403,1.0208248930586662e-05,50.06901198001584,2.1217226398244563e-05,0.7256670451985711,1.4183513445572103e-05,0.021363085559059376,127.7839233398105,3573.628708391465,2292.8123867099944
27,178.4608627444384,466.8685023899128,1.2852411143612155,0.04611015536363575,0.22402684839339068,2.5677393185553843,0.00011209006712064061,3.273887804110524e-05,22.051321110018275,3.158857676231652e-05,0.7117502341830438,1.295076371942699e-05,0.011681100996474512,114.60489495217364,2699.9087996047633,2392.3452255095985
28,182.95347257806225,327.8980863074401,1.3322402745829427,0.053176889131726,0.23737189249449453,2.6997896200582443,-0.00021495458288616504,1.997226653399405e-05,45.57646548953947,1.809490546940224e-05,0.8630336361743531,1.290247846029748e-05,0.012230765851691904,120.35424826192568,3044.4421298462557,2678.8682184586
29,180.7649162509908,204.24680203833734,1.3988999214332778,0.07891355661207158,0.2616903822154768,2.944563197758008,0.00019567558011662919,1.2188762734687553e-05,63.49338017071503,4.869121829526728e-05,0.850986672766909,1.2985915944178282e-05,0.010892097226137936,116.20997157715418,3154.4546064415135,1639.9933982566772
30,175.51566781872148,277.8564573254885,1.3027472730856893,0.07367590045103603,0.24140369835337944,2.6861941613059916,-0.00016549840277411938,1.6274201287060435e-05,81.77115993338236,1.7029890743936475e-05,0.7688119300676848,1.283544353784402e-05,0.011915674254400098,130.20760489512975,2736.749162409873,1660.1614513504128
