EndUse,Run name,FuelType,0
Cooling,a_a_2126_dg_init,Electricity,638.32
Cooling,a_a_2126_dg_init,Natural Gas,0
Cooling,a_b_2126_dg0,Electricity,817.34
Cooling,a_b_2126_dg0,Natural Gas,0
Cooling,a_c_2126_sg1,Electricity,656.4
Cooling,a_c_2126_sg1,Natural Gas,0
Cooling,a_d_2126_sg2,Electricity,553.7
Cooling,a_d_2126_sg2,Natural Gas,0
Cooling,a_e_2126_dg1,Electricity,1074.87
Cooling,a_e_2126_dg1,Natural Gas,0
Cooling,a_f_2126_dg2,Electricity,864.81
Cooling,a_f_2126_dg2,Natural Gas,0
Cooling,a_g_2126_dg3,Electricity,888.93
Cooling,a_g_2126_dg3,Natural Gas,0
Cooling,a_h_2126_dg4,Electricity,691.94
Cooling,a_h_2126_dg4,Natural Gas,0
Cooling,a_i_2126_dg5,Electricity,769.16
Cooling,a_i_2126_dg5,Natural Gas,0
Cooling,a_j_2126_dg6,Electricity,858.09
Cooling,a_j_2126_dg6,Natural Gas,0
Cooling,a_k_2126_tg1,Electricity,1135.23
Cooling,a_k_2126_tg1,Natural Gas,0
Cooling,a_l_2126_tg2,Electricity,924.45
Cooling,a_l_2126_tg2,Natural Gas,0
Cooling,a_m_2126_tg3,Electricity,903.55
Cooling,a_m_2126_tg3,Natural Gas,0
Cooling,a_n_2126_tg4,Electricity,763.96
Cooling,a_n_2126_tg4,Natural Gas,0
Cooling,a_o_2126_tg5,Electricity,784.7
Cooling,a_o_2126_tg5,Natural Gas,0
Cooling,a_p_2126_tg6,Electricity,920.08
Cooling,a_p_2126_tg6,Natural Gas,0
Cooling,b_a_2126_dg_init_int,Electricity,625.25
Cooling,b_a_2126_dg_init_int,Natural Gas,0
Cooling,b_b_2126_dg0_int,Electricity,733.97
Cooling,b_b_2126_dg0_int,Natural Gas,0
Cooling,b_c_2126_sg1_int,Electricity,544.8
Cooling,b_c_2126_sg1_int,Natural Gas,0
Cooling,b_d_2126_sg2_int,Electricity,550.7
Cooling,b_d_2126_sg2_int,Natural Gas,0
Cooling,b_e_2126_dg1_int,Electricity,1014.03
Cooling,b_e_2126_dg1_int,Natural Gas,0
Cooling,b_f_2126_dg2_int,Electricity,869.6
Cooling,b_f_2126_dg2_int,Natural Gas,0
Cooling,b_g_2126_dg3_int,Electricity,894.77
Cooling,b_g_2126_dg3_int,Natural Gas,0
Cooling,b_h_2126_dg4_int,Electricity,723.09
Cooling,b_h_2126_dg4_int,Natural Gas,0
Cooling,b_i_2126_dg5_int,Electricity,797.22
Cooling,b_i_2126_dg5_int,Natural Gas,0
Cooling,b_j_2126_dg6_int,Electricity,873.19
Cooling,b_j_2126_dg6_int,Natural Gas,0
Cooling,b_k_2126_tg1_int,Electricity,1102.01
Cooling,b_k_2126_tg1_int,Natural Gas,0
Cooling,b_l_2126_tg2_int,Electricity,945.71
Cooling,b_l_2126_tg2_int,Natural Gas,0
Cooling,b_m_2126_tg3_int,Electricity,929.61
Cooling,b_m_2126_tg3_int,Natural Gas,0
Cooling,b_n_2126_tg4_int,Electricity,801.33
Cooling,b_n_2126_tg4_int,Natural Gas,0
Cooling,b_o_2126_tg5_int,Electricity,821.98
Cooling,b_o_2126_tg5_int,Natural Gas,0
Cooling,b_p_2126_tg6_int,Electricity,948.76
Cooling,b_p_2126_tg6_int,Natural Gas,0
Cooling,c_a_2126_dg_init_tc,Electricity,492.29
Cooling,c_a_2126_dg_init_tc,Natural Gas,0
Cooling,c_b_2126_dg0_tc,Electricity,578.04
Cooling,c_b_2126_dg0_tc,Natural Gas,0
Cooling,c_c_2126_sg1_tc,Electricity,444.79
Cooling,c_c_2126_sg1_tc,Natural Gas,0
Cooling,c_d_2126_sg2_tc,Electricity,440.89
Cooling,c_d_2126_sg2_tc,Natural Gas,0
Cooling,c_e_2126_dg1_tc,Electricity,790.06
Cooling,c_e_2126_dg1_tc,Natural Gas,0
Cooling,c_f_2126_dg2_tc,Electricity,685.16
Cooling,c_f_2126_dg2_tc,Natural Gas,0
Cooling,c_g_2126_dg3_tc,Electricity,705.2
Cooling,c_g_2126_dg3_tc,Natural Gas,0
Cooling,c_h_2126_dg4_tc,Electricity,602.45
Cooling,c_h_2126_dg4_tc,Natural Gas,0
Cooling,c_i_2126_dg5_tc,Electricity,643.14
Cooling,c_i_2126_dg5_tc,Natural Gas,0
Cooling,c_j_2126_dg6_tc,Electricity,689.35
Cooling,c_j_2126_dg6_tc,Natural Gas,0
Cooling,c_k_2126_tg1_tc,Electricity,863.92
Cooling,c_k_2126_tg1_tc,Natural Gas,0
